date,name,value
2020-12-06,south b,3
2020-12-06,thogoto,2
2020-12-06,gikambura,6
2020-12-06,lodwar,1
2020-12-06,k south,1
2020-12-06,nairobi west,23
2020-12-06,joyland,5
2020-12-06,dagoretti corner,1
2020-12-06,siaya,7
2020-12-06,naivasha,12
2020-12-06,athiriver,1
2020-12-06,batu batu,1
2020-12-06,south c,53
2020-12-06,kenol,3
2020-12-06,lenana rd,1
2020-12-06,nyeri,4
2020-12-06,ukunda,3
2020-12-06,kiserian,1
2020-12-06,ruiru,41
2020-12-06,athi river,1
2020-12-06,waithaka,3
2020-12-06,muthiga,4
2020-12-06,kilimani,14
2020-12-06,utawala,6
2020-12-06,kondele,1
2020-12-06,komarock,7
2020-12-06,muchatha,2
2020-12-06,westlands,3
2020-12-06,githurai 44,1
2020-12-06,kahawa west,1
2020-12-06,webuye,2
2020-12-06,rongai,13
2020-12-06,ongata rongai,2
2020-12-06,kitengela,10
2020-12-06,shanzu,2
2020-12-06,kingeero,2
2020-12-06,nrb west,2
2020-12-06,kajiado,1
2020-12-06,lenana road,1
2020-12-06,githunguri,4
2020-12-06,dandora,1
2020-12-06,nyamira,5
2020-12-06,kahawa wendani,7
2020-12-06,upperhill,6
2020-12-06,donholm,7
2020-12-06,usiu,4
2020-12-06,riverside,9
2020-12-06,garissa,2
2020-12-06,ngong town,3
2020-12-06,buru,1
2020-12-06,kileleshwa,25
2020-12-06,trm,1
2020-12-06,ruai,2
2020-12-06,dennis pritt,1
2020-12-06,nakuru,12
2020-12-06,zimmerman,3
2020-12-06,syokimau,4
2020-12-06,meru,4
2020-12-06,kinoo,17
2020-12-06,kawangware,1
2020-12-06,lavington,13
2020-12-06,mtwapa,5
2020-12-06,karen,9
2020-12-06,mlolongo,1
2020-12-06,stage mpya,3
2020-12-06,kariobangi south,8
2020-12-07,kangemi,17
2020-12-07,naivasha,14
2020-12-07,roysambu,8
2020-12-07,akiba,2
2020-12-07,langata,7
2020-12-07,gachie,5
2020-12-07,muranga,6
2020-12-07,isiolo,1
2020-12-07,oloitoktok road,3
2020-12-07,utawala,8
2020-12-07,nyeri,5
2020-12-07,kericho,3
2020-12-07,south c,53
